[ T-Product ]
    title = [t-product] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = 1
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =   0.000000      # minimum value of e-mesh points
     emax =   1001.000      # maximum value of e-mesh points
#    edel =   10.01000      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           0.00000E+00  1.00100E+01  2.00200E+01  3.00300E+01  4.00400E+01
#           5.00500E+01  6.00600E+01  7.00700E+01  8.00800E+01  9.00900E+01
#           1.00100E+02  1.10110E+02  1.20120E+02  1.30130E+02  1.40140E+02
#           1.50150E+02  1.60160E+02  1.70170E+02  1.80180E+02  1.90190E+02
#           2.00200E+02  2.10210E+02  2.20220E+02  2.30230E+02  2.40240E+02
#           2.50250E+02  2.60260E+02  2.70270E+02  2.80280E+02  2.90290E+02
#           3.00300E+02  3.10310E+02  3.20320E+02  3.30330E+02  3.40340E+02
#           3.50350E+02  3.60360E+02  3.70370E+02  3.80380E+02  3.90390E+02
#           4.00400E+02  4.10410E+02  4.20420E+02  4.30430E+02  4.40440E+02
#           4.50450E+02  4.60460E+02  4.70470E+02  4.80480E+02  4.90490E+02
#           5.00500E+02  5.10510E+02  5.20520E+02  5.30530E+02  5.40540E+02
#           5.50550E+02  5.60560E+02  5.70570E+02  5.80580E+02  5.90590E+02
#           6.00600E+02  6.10610E+02  6.20620E+02  6.30630E+02  6.40640E+02
#           6.50650E+02  6.60660E+02  6.70670E+02  6.80680E+02  6.90690E+02
#           7.00700E+02  7.10710E+02  7.20720E+02  7.30730E+02  7.40740E+02
#           7.50750E+02  7.60760E+02  7.70770E+02  7.80780E+02  7.90790E+02
#           8.00800E+02  8.10810E+02  8.20820E+02  8.30830E+02  8.40840E+02
#           8.50850E+02  8.60860E+02  8.70870E+02  8.80880E+02  8.90890E+02
#           9.00900E+02  9.10910E+02  9.20920E+02  9.30930E+02  9.40940E+02
#           9.50950E+02  9.60960E+02  9.70970E+02  9.80980E+02  9.90990E+02
#           1.00100E+03
 material =  all            # (D=all) number of specific material
   mother =  all            # (D=all) number of specific mother
     unit =    1            # unit is [1/source]
     axis =  eng            # axis of output
     file = 3_decay_energy.out  # file name of output for the above axis
   output = decay           # (D=nuclear) products from decay
     part =  12       
# kf/name :  nu_e     
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         107 (  0)           0 (  0)         107 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =      1

x: Energy [MeV]
y: Number [1/source]                      
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(nu_e    ),hh0l   n 
#  e-lower      e-upper      nu_e        r.err 
   0.0000E+00   1.0010E+01   0.0000E+00  0.0000
   1.0010E+01   2.0020E+01   0.0000E+00  0.0000
   2.0020E+01   3.0030E+01   0.0000E+00  0.0000
   3.0030E+01   4.0040E+01   0.0000E+00  0.0000
   4.0040E+01   5.0050E+01   0.0000E+00  0.0000
   5.0050E+01   6.0060E+01   0.0000E+00  0.0000
   6.0060E+01   7.0070E+01   0.0000E+00  0.0000
   7.0070E+01   8.0080E+01   0.0000E+00  0.0000
   8.0080E+01   9.0090E+01   0.0000E+00  0.0000
   9.0090E+01   1.0010E+02   0.0000E+00  0.0000
   1.0010E+02   1.1011E+02   0.0000E+00  0.0000
   1.1011E+02   1.2012E+02   0.0000E+00  0.0000
   1.2012E+02   1.3013E+02   0.0000E+00  0.0000
   1.3013E+02   1.4014E+02   0.0000E+00  0.0000
   1.4014E+02   1.5015E+02   0.0000E+00  0.0000
   1.5015E+02   1.6016E+02   0.0000E+00  0.0000
   1.6016E+02   1.7017E+02   0.0000E+00  0.0000
   1.7017E+02   1.8018E+02   0.0000E+00  0.0000
   1.8018E+02   1.9019E+02   0.0000E+00  0.0000
   1.9019E+02   2.0020E+02   0.0000E+00  0.0000
   2.0020E+02   2.1021E+02   0.0000E+00  0.0000
   2.1021E+02   2.2022E+02   0.0000E+00  0.0000
   2.2022E+02   2.3023E+02   1.0000E-06  1.0000
   2.3023E+02   2.4024E+02   0.0000E+00  0.0000
   2.4024E+02   2.5025E+02   0.0000E+00  0.0000
   2.5025E+02   2.6026E+02   1.0000E-06  1.0000
   2.6026E+02   2.7027E+02   0.0000E+00  0.0000
   2.7027E+02   2.8028E+02   0.0000E+00  0.0000
   2.8028E+02   2.9029E+02   0.0000E+00  0.0000
   2.9029E+02   3.0030E+02   0.0000E+00  0.0000
   3.0030E+02   3.1031E+02   0.0000E+00  0.0000
   3.1031E+02   3.2032E+02   0.0000E+00  0.0000
   3.2032E+02   3.3033E+02   0.0000E+00  0.0000
   3.3033E+02   3.4034E+02   0.0000E+00  0.0000
   3.4034E+02   3.5035E+02   0.0000E+00  0.0000
   3.5035E+02   3.6036E+02   0.0000E+00  0.0000
   3.6036E+02   3.7037E+02   0.0000E+00  0.0000
   3.7037E+02   3.8038E+02   0.0000E+00  0.0000
   3.8038E+02   3.9039E+02   0.0000E+00  0.0000
   3.9039E+02   4.0040E+02   0.0000E+00  0.0000
   4.0040E+02   4.1041E+02   0.0000E+00  0.0000
   4.1041E+02   4.2042E+02   0.0000E+00  0.0000
   4.2042E+02   4.3043E+02   0.0000E+00  0.0000
   4.3043E+02   4.4044E+02   0.0000E+00  0.0000
   4.4044E+02   4.5045E+02   0.0000E+00  0.0000
   4.5045E+02   4.6046E+02   0.0000E+00  0.0000
   4.6046E+02   4.7047E+02   1.0000E-06  1.0000
   4.7047E+02   4.8048E+02   0.0000E+00  0.0000
   4.8048E+02   4.9049E+02   0.0000E+00  0.0000
   4.9049E+02   5.0050E+02   0.0000E+00  0.0000
   5.0050E+02   5.1051E+02   0.0000E+00  0.0000
   5.1051E+02   5.2052E+02   0.0000E+00  0.0000
   5.2052E+02   5.3053E+02   0.0000E+00  0.0000
   5.3053E+02   5.4054E+02   0.0000E+00  0.0000
   5.4054E+02   5.5055E+02   0.0000E+00  0.0000
   5.5055E+02   5.6056E+02   0.0000E+00  0.0000
   5.6056E+02   5.7057E+02   0.0000E+00  0.0000
   5.7057E+02   5.8058E+02   0.0000E+00  0.0000
   5.8058E+02   5.9059E+02   0.0000E+00  0.0000
   5.9059E+02   6.0060E+02   0.0000E+00  0.0000
   6.0060E+02   6.1061E+02   0.0000E+00  0.0000
   6.1061E+02   6.2062E+02   0.0000E+00  0.0000
   6.2062E+02   6.3063E+02   0.0000E+00  0.0000
   6.3063E+02   6.4064E+02   0.0000E+00  0.0000
   6.4064E+02   6.5065E+02   0.0000E+00  0.0000
   6.5065E+02   6.6066E+02   0.0000E+00  0.0000
   6.6066E+02   6.7067E+02   0.0000E+00  0.0000
   6.7067E+02   6.8068E+02   0.0000E+00  0.0000
   6.8068E+02   6.9069E+02   0.0000E+00  0.0000
   6.9069E+02   7.0070E+02   0.0000E+00  0.0000
   7.0070E+02   7.1071E+02   0.0000E+00  0.0000
   7.1071E+02   7.2072E+02   0.0000E+00  0.0000
   7.2072E+02   7.3073E+02   0.0000E+00  0.0000
   7.3073E+02   7.4074E+02   0.0000E+00  0.0000
   7.4074E+02   7.5075E+02   0.0000E+00  0.0000
   7.5075E+02   7.6076E+02   0.0000E+00  0.0000
   7.6076E+02   7.7077E+02   0.0000E+00  0.0000
   7.7077E+02   7.8078E+02   0.0000E+00  0.0000
   7.8078E+02   7.9079E+02   0.0000E+00  0.0000
   7.9079E+02   8.0080E+02   0.0000E+00  0.0000
   8.0080E+02   8.1081E+02   0.0000E+00  0.0000
   8.1081E+02   8.2082E+02   0.0000E+00  0.0000
   8.2082E+02   8.3083E+02   0.0000E+00  0.0000
   8.3083E+02   8.4084E+02   0.0000E+00  0.0000
   8.4084E+02   8.5085E+02   0.0000E+00  0.0000
   8.5085E+02   8.6086E+02   0.0000E+00  0.0000
   8.6086E+02   8.7087E+02   0.0000E+00  0.0000
   8.7087E+02   8.8088E+02   0.0000E+00  0.0000
   8.8088E+02   8.9089E+02   0.0000E+00  0.0000
   8.9089E+02   9.0090E+02   0.0000E+00  0.0000
   9.0090E+02   9.1091E+02   0.0000E+00  0.0000
   9.1091E+02   9.2092E+02   0.0000E+00  0.0000
   9.2092E+02   9.3093E+02   0.0000E+00  0.0000
   9.3093E+02   9.4094E+02   0.0000E+00  0.0000
   9.4094E+02   9.5095E+02   0.0000E+00  0.0000
   9.5095E+02   9.6096E+02   0.0000E+00  0.0000
   9.6096E+02   9.7097E+02   0.0000E+00  0.0000
   9.7097E+02   9.8098E+02   0.0000E+00  0.0000
   9.8098E+02   9.9099E+02   0.0000E+00  0.0000
   9.9099E+02   1.0010E+03   0.0000E+00  0.0000

#   sum over                 3.0000E-06

'no. =  1,    reg  =      1'
msuc: {\huge [t-product] in region mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.29}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
e:

# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 1.00000000000000000E+03 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+03 # Total history number or Total batch number
# maxcas =        1000 # History / Batch, only used for istdev=1
# bitrseed = 0101000011000111010110101100111000100101101011010111101101011101 # bit data of rseed
